"term","estimate","std_error","z_value","p_value","odds_ratio"
"(Intercept)",-0.965080896041156,0.415474178180025,-2.32284206029041,0.0201876386357493,0.380952380953307
"camera_shakeTRUE",0.965080896041156,0.582482153718922,1.65684199915738,0.0975514232797918,2.62499999999362
"camera_zoomTRUE",0.271933715481413,0.650091301994209,0.418300805821018,0.675727200554096,1.31249999999707
"camera_recoilTRUE",0.271933715481413,0.600098928410963,0.453148143759366,0.650442070049741,1.31249999999707
"camera_shakeTRUE:camera_zoomTRUE",-0.907922482201328,0.871332295987395,-1.04199337770726,0.297414749236514,0.403361344538747
"camera_shakeTRUE:camera_recoilTRUE",-0.271933715481413,0.852517091058386,-0.318977435565323,0.749743623528666,0.76190476190646
"camera_zoomTRUE:camera_recoilTRUE",0.421213465078331,0.912327164068004,0.461691245934374,0.644302749673151,1.52380952381261
"camera_shakeTRUE:camera_zoomTRUE:camera_recoilTRUE",-0.558414586591331,1.26985499550686,-0.439746733735093,0.66012055063836,0.572115384614502
