"id","player_id","build_version","started_at","ended_at","duration_seconds","final_round","final_level","death_enemy","total_kills","total_damage_taken","total_xp","end_reason","dodges_used","heals_used","camera_shake","camera_zoom","camera_recoil","condition","hits_taken","damage_events_total","mean_damage_per_hit","input_total","input_mean","jitter_total","jitter_mean","distance_total","distance_mean","speed_mean","speed_sd","enemies_alive_mean","enemies_alive_max","nearest_enemy_dist_mean","projectiles_alive_mean","fps_mean","fps_min","fps_drop_ratio","low_hp_ratio","damage_taken_rate","hits_rate","kill_rate","xp_rate","input_rate","jitter_rate","distance_rate","died"
"6f344d23-060f-487f-9a19-960432103187","C6H469","1.0.0","2026-06-11 13:10:33+00","2026-06-11 13:16:15+00",354,5,32,"",435,33,7860,"win",1,5963,"FALSE","TRUE","FALSE","C2_zoom",33,33,1,679,0.354569190600522,20,0.010443864229765,28291.4328,14.773594151436,127.456919060052,24.6703998540022,30.3973890339426,81,119.941912114883,0,59.3624020887728,53,0,0,0.0932203389830508,0.0932203389830508,1.22881355932203,22.2033898305085,1.9180790960452,0.0564971751412429,79.9193016949152,FALSE
"6f5d4349-239d-44b8-98da-4828fdc75a5c","C6F643","1.0.0","2026-06-05 19:19:49+00","2026-06-05 19:27:59+00",545,5,36,"",435,65,17118,"win",12,4461,"TRUE","TRUE","FALSE","C4_shake_zoom",69,69,1,220,0.128205128205128,26,0.0151515151515152,23101.568,13.4624522144522,116.270396270396,41.9031963414841,28.9865967365967,71,162.893802365967,0,59.2027972027972,55,0,0,0.119266055045872,0.126605504587156,0.798165137614679,31.4091743119266,0.403669724770642,0.0477064220183486,42.3881981651376,FALSE
"6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d","C5D447","1.0.0","2026-06-05 19:16:16+00","2026-06-05 19:26:05+00",599,5,35,"enemy",434,435.80137912323,14093,"death",52,22821,"FALSE","TRUE","TRUE","C6_zoom_recoil",371,435.80137912323,1.17466679008957,1334,0.388921282798834,21,0.00612244897959184,49897.69438,14.5474327638484,125.405247813411,22.7003680390944,42.7148688046647,103,63.0655437696793,0,59.4536443148688,55,0,0.0180758017492711,0.72754821222576,0.619365609348915,0.724540901502504,23.5275459098497,2.22704507512521,0.0350584307178631,83.301660066778,TRUE
"6f93e1ac-02d4-4851-9145-f230dc3f0436","C6P512","1.0.0","2026-06-15 19:15:38+00","2026-06-15 19:25:00+00",573,5,36,"",435,354,16902,"win",79,14452,"FALSE","FALSE","FALSE","C0_baseline",355,355,1,750,0.237567310738042,27,0.00855242318656953,35098.04557,11.1175310643016,97.0541653468483,16.9114196510889,38.9768767817548,98,72.5062247956921,0,59.0351599619892,53,0,0.0148875514729173,0.617801047120419,0.619546247818499,0.759162303664921,29.4973821989529,1.30890052356021,0.0471204188481675,61.2531336300175,FALSE
"70148665-4c49-4e80-9e8d-bfddc9aaebd0","C6H502","1.0.0","2026-06-08 16:19:56+00","2026-06-08 16:26:33+00",407,5,33,"",435,185,8802,"win",34,11057,"TRUE","TRUE","FALSE","C4_shake_zoom",185,185,1,691,0.239764052741152,51,0.0176960444136017,28512.25902,9.89321964607911,95.3331020124913,51.2376506978449,34.8448993754337,96,119.050816730743,0,57.324080499653,52,0,0.211311589174185,0.454545454545455,0.454545454545455,1.06879606879607,21.6265356265356,1.6977886977887,0.125307125307125,70.0546904668305,FALSE
"7031b138-ad7f-4da4-a7d4-d8b5e3ecd4df","C6M259","1.0.0","2026-06-09 14:14:23+00","2026-06-09 14:17:02+00",166,5,26,"",435,2,2430,"win",0,44,"FALSE","FALSE","FALSE","C0_baseline",3,3,1,291,0.3,12,0.0123711340206186,12524.57027,12.9119281134021,122.530927835052,44.9292710085427,26.7567010309278,48,128.315627525773,0,56.5329896907216,52,0,0,0.0120481927710843,0.0180722891566265,2.62048192771084,14.6385542168675,1.75301204819277,0.072289156626506,75.4492184939759,FALSE
"7033731e-be72-49f3-a158-88e7c4890a67","C6E968","1.0.0","2026-06-08 16:37:51+00","2026-06-08 16:47:27+00",599,5,26,"enemy",434,130.166994333333,2825,"death",2,8599,"TRUE","FALSE","TRUE","C5_shake_recoil",57,130.166994333333,2.28363147953216,418,0.0975951435909409,11,0.00256829325239318,56655.41118,13.2279736586505,117.865981788466,29.1811614799939,55.2727060471632,90,195.573234760682,0,50.5017511090357,40,0.495447116507121,0,0.21730716917084,0.0951585976627713,0.724540901502504,4.71619365609349,0.697829716193656,0.0183639398998331,94.5833241736227,TRUE
"7546a5ef-7cb3-4608-8e5e-89703199492a","C6P283","1.0.0","2026-06-05 16:12:04+00","2026-06-05 16:17:41+00",352,5,35,"",435,90,13321,"win",0,9037,"FALSE","FALSE","TRUE","C3_recoil",90,90,1,339,0.186776859504132,25,0.0137741046831956,19099.748021,10.5232771465565,92.0220385674931,36.6670943696579,27.7917355371901,92,119.397227763085,0,59.3586776859504,55,0,0,0.255681818181818,0.255681818181818,1.23579545454545,37.84375,0.963068181818182,0.0710227272727273,54.2606477869318,FALSE
"788b5019-b7b5-469d-a1cb-3097e10d49ad","C6C683","1.0.0","2026-06-09 14:02:33+00","2026-06-09 14:05:50+00",206,1,1,"enemy",0,50,0,"death",0,0,"TRUE","TRUE","TRUE","C7_all",1,50,50,,,,,,,,,,,,,,,,,0.242718446601942,0.00485436893203883,0,0,,,,TRUE
"7977afbe-8e55-42c2-93d8-26664e97cf4e","C6K604","1.0.0","2026-06-08 16:26:52+00","2026-06-08 16:35:28+00",529,5,33,"",435,84,8697,"win",34,14942,"FALSE","FALSE","TRUE","C3_recoil",85,85,1,1079,0.323053892215569,54,0.0161676646706587,51862.40806,15.5276670838323,134.14371257485,87.6351709416548,37.2799401197605,86,108.282482053892,0,59.9931137724551,58,0,0,0.158790170132325,0.160680529300567,0.822306238185255,16.4404536862004,2.03969754253308,0.102079395085066,98.038578563327,FALSE
