"player_id","run_id","supabase_row_number","cond","shake","zoom","recoil","n_effects","imm_total","imm_atraccion","imm_foco","imm_presencia","end_reason","ingame_survival_s","total_kills","kill_rate","kills_per_min","input_total","input_rate","inputs_per_min","dmg_per_min_2m","hits_per_min_2m","damage_amount_per_min_2m","dmg_per_min","hits_per_min","enemies_mean","fps_mean","bg_frequency","bg_hours_7d","bg_experience","imm_q1","imm_q2","imm_q3","imm_q4","imm_q5","imm_q6","imm_q7","imm_q8","imm_q9","imm_q10","imm_q11","imm_q12","imm_q13","imm_q14","imm_q15","imm_q16","imm_q17","imm_q18","imm_q19","imm_q20","imm_q21","imm_q22","imm_q23","imm_q24","shake_num","zoom_num","recoil_num","duration_min","hits_total_est","damage_amount_total_est","treatment","Shake","Zoom","Recoil","person_row_index"
"C6D710","3f71376e-8540-44d6-8916-5cd239cd8db6",47,110,1,1,0,2,3.167,2.625,4.375,2.5,"win",216,435,1.310241,120.833,443,1.334337,123.056,6.5,6.5,6.5,9.444,9.444,33.1659551761,59.4114194237,"Varias veces por semana","6–10 horas","Intermedio",1,5,2,2,1,4,2,4,4,3,5,3,5,5,5,5,5,3,3,1,1,3,3,1,1,1,0,3.6,34,33.9984,"Shake + Zoom","Presente","Presente","Ausente",1
"C6D717","eb6ae233-5b63-4bfa-b563-5d9dab5e9da8",165,11,0,1,1,2,3,3.875,2.625,2.5,"death",413,434,0.724541,63.051,939,1.567613,136.416,8,8,8,44.56,30.508,38.4622589532,58.2060606061,"Varias veces por semana","2–5 horas","Intermedio",4,5,3,4,5,4,3,3,2,3,2,1,2,5,2,4,4,2,3,1,1,5,2,2,0,1,1,6.88333333333333,210,306.721333333333,"Zoom + Recoil","Ausente","Presente","Presente",1
"C6D796","36f78638-69ff-473d-91cc-cd779e015bf1",39,1,0,0,1,1,2.917,3.625,2.375,2.75,"win",147,435,1.290801,177.551,429,1.272997,175.102,2.5,2.5,2.5,6.531,6.531,29.9597474349,60.0039463299,"Una vez por semana","Menos de 2 horas","Avanzado",4,5,1,2,5,4,5,3,1,3,2,3,1,4,2,3,3,2,3,3,1,4,3,3,0,0,1,2.45,16,16.00095,"Recoil","Ausente","Ausente","Presente",1
"C6D912","0af94b2a-fe69-479c-b598-81d3a6b77610",10,10,0,1,0,1,3.583,4.5,3,3.25,"win",261,435,1.132812,100,432,1.125,99.31,3.5,3.5,3.5,9.195,9.655,37.3617571059,46.5452196382,"Varias veces por semana","2–5 horas","Intermedio",4,5,4,5,4,5,5,4,4,4,2,2,3,4,2,3,4,3,2,3,2,4,4,4,0,1,0,4.35,42,39.99825,"Zoom","Ausente","Presente","Ausente",1
"C6E014","fd75850e-6df8-4c86-8241-884da7ee6142",176,10,0,1,0,1,3.042,4.75,2.75,1.625,"win",344,435,0.863095,75.872,774,1.535714,135,17,17,17,52.5,52.674,32.9071288424,49.4767822106,"Una vez por semana","Menos de 2 horas","Avanzado",5,5,3,5,5,5,5,5,2,1,1,5,1,5,4,3,3,2,2,2,1,1,1,1,0,1,0,5.73333333333333,302,301,"Zoom","Ausente","Presente","Ausente",1
"C6E049","f71018c8-d3bc-48d5-a035-7382d9ac5e63",172,100,1,0,0,1,3.458,3.5,3.375,3.5,"win",256,435,0.854617,101.953,854,1.6778,200.156,6,6,6,11.719,12.188,30.2995475113,59.4040723982,"Varias veces por semana","2–5 horas","Básico",3,4,3,4,4,4,4,2,4,5,4,3,2,3,3,3,3,4,4,3,2,4,4,4,1,0,0,4.26666666666667,52,50.0010666666667,"Shake","Presente","Ausente","Ausente",1
"C6E077","9e43f054-b7f0-4a0e-ab92-f14b62b69f0f",113,101,1,0,1,2,3.292,3.75,2.75,3.375,"win",232,435,1.279412,112.5,409,1.202941,105.776,7,7,7,22.241,22.5,30.73241515,58.6448598131,"Diario","2–5 horas","Avanzado",4,4,3,4,4,4,4,3,1,4,2,3,2,5,3,2,3,4,2,4,3,4,4,3,1,0,1,3.86666666666667,87,85.9985333333333,"Shake + Recoil","Presente","Ausente","Presente",1
"C6E248","e8892054-5eeb-4a73-888c-042ff814e38b",162,110,1,1,0,2,3.792,3.75,4.125,3.5,"win",207,435,1.235795,126.087,510,1.448864,147.826,8,8,8,8.406,8.696,31.2606502242,59.3963004484,"Varias veces por mes","Menos de 2 horas","Intermedio",3,4,3,4,3,4,5,4,4,5,4,3,4,5,4,4,4,4,4,3,2,3,4,4,1,1,0,3.45,30,29.0007,"Shake + Zoom","Presente","Presente","Ausente",1
"C6E291","c404059c-5b59-4023-bfac-f91f73293f12",139,100,1,0,0,1,3.083,5,1.875,2.375,"win",110,435,1.768293,237.273,230,0.934959,125.455,10.909,10.909,10.364,10.364,10.909,25.1398667935,56.3368220742,"Diario","2–5 horas","Avanzado",5,5,5,5,5,5,5,5,2,1,1,1,1,5,3,1,3,3,3,1,1,3,3,2,1,0,0,1.83333333333333,20,19.0006666666667,"Shake","Presente","Ausente","Ausente",1
"C6E333","92d8e45d-01ab-4c73-a57a-7ca89a92dea1",105,100,1,0,0,1,3.75,4.25,3.125,3.875,"win",160,435,1.002304,163.125,518,1.193548,194.25,3,3,3,7.125,7.5,28.248125426,49.2672119973,"Diario","Más de 20 horas","Avanzado",4,4,3,5,5,4,4,5,4,3,3,2,2,4,4,3,5,4,4,4,3,4,3,4,1,0,0,2.66666666666667,20,19,"Shake","Presente","Ausente","Ausente",1
