id,run_id,damage_source,total_damage,total_kills
1629ddc2-2dbc-4063-af19-3cef0ff0598e,5f346316-7b98-4fed-9d5e-0aace5ac2f77,burn,354.06243,120
1670349e-dcfa-4d30-a519-31716413ee0b,47544f88-440c-4c4f-9eff-85ec5f081088,arrow,1825.978648,533
167b5694-b7ad-4c40-beaa-0f94f007a494,8c8dc550-93e5-4ed0-b7de-35848833931a,death_arrows,379.50237962,102
176a47cb-5b47-4ab1-878f-13ef5f285fab,8c8dc550-93e5-4ed0-b7de-35848833931a,arrow,2978.99362322164,827
176c051a-295d-44e0-bd6e-01343b7a9f3d,613255d8-47d3-42be-8925-4e006c72eb2f,aura,53.4500000000001,2
177cf942-b2d5-4683-a7b8-87bfe7f33669,b1420e15-afa5-4ddf-add1-b8a2145496f0,aura,223.7660625,33
17f7834d-890c-43d0-a83b-b2d77ebb7139,7a2a5f50-6269-4136-867f-01efe12eb3b1,aura,245.55,64
181dd1ed-de6f-4a9d-b05d-478ed6c72565,613255d8-47d3-42be-8925-4e006c72eb2f,death_arrows,934.088143999999,306
1832c10e-e232-4ee5-be02-3074aef92ebd,39139dd7-19b0-4fa3-9fb3-94f2cdf42553,death_arrows,560.185440000001,151
1855fc29-25e9-45f1-9737-2664b2a0689c,3b58d74b-cc08-487e-9868-de651ad91a67,burn,707.996682939999,170
18607825-006b-43e2-bbce-789e4ba22b32,42f13b81-8a0e-4acd-8ce8-8270f40d08b1,aura,43.0,2
18c16f75-390b-453c-9d85-ee39cfd935b6,fd1e77bb-7d0a-4c7f-8dbc-66e1a1900f98,burn,36.663232,7
191069c9-6d19-4ec3-a48b-b7e7fd166766,50d353db-3226-48d3-89fd-00a80fcf618d,aura,229.425,73
1975b95c-e06f-446e-9a55-7bc75568ddd9,12a9ff81-ed85-4e81-b71e-625079debd23,aura,1037.02560000004,198
19a7bae1-ca7b-4229-b74e-08c4dcfad932,3b58d74b-cc08-487e-9868-de651ad91a67,aura,181.97702896,18
1a0941b2-f01d-483d-9f55-66694dfeb976,12b80902-760c-44ca-ad02-905a58cf4b1e,death_arrows,689.852059999998,385
1a1b6d6b-92d1-4e89-a180-13776e617620,f598cc70-cae8-420e-be86-d7c0aaab814f,arrow,2968.28452000001,899
1a6147cf-093a-44f2-9670-6dc458dc812f,7546a5ef-7cb3-4608-8e5e-89703199492a,aura,100.6055536,14
1af9221b-abd1-4ed1-813b-0c75ddc4cf25,23ab4078-96b4-4d96-83ad-65a4abe8e1b9,death_arrows,362.6533402,143
1b4bc314-1c81-4bed-9ee3-de6d1662783b,6f344d23-060f-487f-9a19-960432103187,aura,79.2235,23
1b8b05c4-b1df-4200-8ea0-c3d2efb0df55,e8e70be3-66e8-4abd-8157-b58ad3ccc5e4,aura,50.25,12
1bb18c27-86d2-4fc6-9e3c-b40064d93309,9cd9cb7a-588c-4e2b-be05-e8bb79f9757f,aura,111.93236525,25
1bb235fd-4f3c-495e-abd4-b4da720a8995,0c5e03c1-121d-4c92-affb-7ee2298844f7,arrow,3473.45733129997,905
1bd25020-abab-49f8-9dd9-d0ece8c7986c,035e4ae5-9b01-49a1-80bb-bfd33381c569,burn,332.059706864558,92
1c02f6ea-9fa3-4bc2-85a6-3dc099bb958f,547c202d-b1b3-4c60-99a5-8ea4b22b788b,burn,20.3339,15
1d47cadb-c076-4752-a6f6-5a3634258a61,b1420e15-afa5-4ddf-add1-b8a2145496f0,death_arrows,330.7675625,125
1d52663a-b37d-40fd-ace4-5b8d7990d352,23ab4078-96b4-4d96-83ad-65a4abe8e1b9,aura,44.3926000000004,5
1d6b6527-eee2-4e3c-a833-a3120eaef349,0f33c073-f218-41b5-af78-ee891110b44a,death_arrows,1229.520776,430
1d8807c7-c15a-404b-9f96-ed45b4d46225,4c3ee856-dc8a-44b9-af4c-599ed8f7cff0,arrow,5211.50079200003,1336
1d978cdb-5a35-49b8-bb87-a5fe38c02832,5f346316-7b98-4fed-9d5e-0aace5ac2f77,death_arrows,1708.072185,600
1dcd5958-faaa-40c3-93a5-8079486d8ee3,51e201a5-8671-4003-b7bf-2453a27f8181,aura,1341.29716692496,205
1e72bf14-e949-4c52-bdcc-138ed4c6b0b1,9ab3cb58-4328-49e5-83a8-a1dbb1e96fa3,death_arrows,92.0188621499999,32
1ecef9ac-2e0d-4305-b603-5cdc8e1abcb2,87f2ad84-6a6c-45fd-8769-fbb8127db460,arrow,41.25,37
1f87e835-2651-4033-a4b0-f6c259a2636f,d4278cff-e28c-4a9e-bfb9-0f0b9f7256e8,arrow,877.633899000001,471
1fbd33e2-f7c9-4d82-accc-e049a0890b51,6ed179b4-89b7-43c6-822a-653ff5ce4b9d,burn,2365.038116,500
1fde0893-2930-479a-accd-c70fca50148a,dd46af74-5e44-481c-961c-44a1df094eb7,aura,632.863293125,250
20606540-d090-40aa-a985-3b620bf88096,c3d2f2ab-c4ef-4536-8eb3-12b6f72ca721,aura,236.987309999998,28
22a3ee9a-d689-4d05-aa78-f5df0a7d0ba5,7cbc6bac-31b7-4341-8e27-9e0e39ea6ad5,burn,553.690632019999,102
22df035b-699e-4a9d-9054-c9801a38bade,168647f2-0e56-4d4d-8b84-b57b16dc88ff,death_arrows,89.13245,17
