id,run_id,game_time_seconds,round,enemy_type,damage_type,damage_amount,hp_before_hit,hp_after_hit
008ff90e-5f0d-45ee-a491-bfdf60bd03a1,e772dbc8-d74c-4d97-9993-ee6e996bbf89,203,5,king,arrow,1.0,95.6166666666693,94.6166666666693
00967115-43b9-4d2d-84a1-dfe8abccf1f3,8c8dc550-93e5-4ed0-b7de-35848833931a,89,3,archer,arrow,1.0,72.7799999999984,71.7799999999984
0099bf9e-3c8a-4298-b207-b54f004f9f89,168647f2-0e56-4d4d-8b84-b57b16dc88ff,346,5,king,arrow,1.0,150.0,149.0
00a0257d-ddc7-4cb5-9662-c0176e898a56,202b46e4-ad32-49b1-a99e-7a43a68118f3,136,5,king,arrow,1.0,75.0,74.0
00a70092-5135-4921-a417-1f66cdaaecdb,0c5e03c1-121d-4c92-affb-7ee2298844f7,107,4,enemy,contact,1.0,71.0410393333321,70.0410393333321
00a868c5-22d0-4e90-a892-48e7d03df9a1,858e8d70-6151-46c8-ae86-08a6672d77f6,225,5,knight_defender,contact,1.0,123.1874964,122.1874964
00a8f1a9-d414-455b-8d1a-b03144162fa9,6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d,341,5,knight_attacker,contact,1.0,52.8484528232345,51.8484528232345
00b6334b-aa18-4c77-8471-214ab8ea0860,e9ae714c-6ca4-414d-87d9-e968c35ebfe2,390,5,king,arrow,1.0,88.8150000000007,87.8150000000007
00b638c4-906b-4918-90a9-8fb5147012bc,7546a5ef-7cb3-4608-8e5e-89703199492a,130,5,king,arrow,1.0,39.161390433334,38.161390433334
00c3aa64-79ce-4cf4-a784-30043680d00f,8d3951ff-68f5-4229-abc8-b0e014ccf3e4,266,5,knight_attacker,contact,1.0,106.743382666666,105.743382666666
00ca7ef2-4828-48f1-a1ae-e8ac1ba08a3a,32d9bf5b-89d1-4916-895e-c95307c39b07,157,5,king,arrow,1.0,28.4976349555552,27.4976349555552
